,puesdo_id,real_id,title,categories,tags,description,is_live,view_count,like_count,channel_url,duration,average_rating,age_limit,webpage_url,rgb_by_frame,audio_by_frame
0,83bX,_DZhdk6IFTw,chris batie,['Sports'],"['CHRIS', 'BATIE']",CHRIS BATIE PLAYIN FOOTBALL,,4756.0,10.0,https://www.youtube.com/channel/UCjUrpm9hf49UGJQTg8I5w7g,480.0,,0.0,https://www.youtube.com/watch?v=_DZhdk6IFTw,"[[149.  84. 131. ... 142.  27.  86.]
 [141. 105. 125. ... 130.  32.  56.]
 [160. 108. 131. ... 147.  29.  93.]
 ...
 [138. 118. 101. ... 135.  61.  77.]
 [150. 129. 130. ... 140.  24. 180.]
 [104. 140.  98. ...  92. 157.  99.]]","[[143. 133. 136. ... 255. 151.  47.]
 [119. 106. 149. ...  87.   0.  97.]
 [150.  88. 181. ...  55.  93. 255.]
 ...
 [ 97. 157. 136. ... 155.   0.  74.]
 [115. 154. 130. ... 189.   0.  15.]
 [124. 101. 147. ... 214.   0.  93.]]"
1,xCbX,PSzzpLGFzs4,【みきとP/mikitoP】【miki】MikitoP／みきとP【Original PV】,['Music'],"['みきとP', 'miki', 'Vocaloid', 'Singing (Musical Instrument)', 'Utattemita', 'niconico']","【miki】mikitoP／みきとP【mikitoP／みきとP Original PV】
（★P名サンキュ！！mikiもよろこんでる！
-----------------------
みきとP、、だとッ？！99コメ目が『みきとP』なら100コメ目から僕は“みきとP”だね。
ちゃんと祝う事ッ！
-----------------------
こんばんわ、みきとPです。
今夜も聴いてみましょう
(｡ -_-)ﾉ☆･ﾟ::ﾟﾐｷﾄPｯﾃﾅﾏｴﾀﾞﾖ♪",,8247.0,163.0,https://www.youtube.com/channel/UCBR4N5DkgDt3PLTcfJB1iiw,222.0,,0.0,https://www.youtube.com/watch?v=PSzzpLGFzs4,"[[  0.  72. 173. ... 142. 119. 137.]
 [ 96. 129.  82. ... 106. 185. 134.]
 [ 98. 128.  81. ... 113. 170. 136.]
 ...
 [ 72. 118.  77. ... 105. 152.  37.]
 [ 71. 120.  76. ... 116. 146.  49.]
 [ 60. 128.  76. ...  47. 164.  70.]]","[[163.  42. 114. ... 138.   0. 141.]
 [180.  76.  71. ... 167.  28. 255.]
 [190.  78.  88. ... 219. 139. 149.]
 ...
 [178.  92.  83. ... 198.   0.   0.]
 [167. 136.  32. ... 147.   0.   7.]
 [162.  71. 104. ... 202. 152.  56.]]"
2,gdbX,Cyx-UJAXZrg,~FMP - Sousuke x Kaname - Crush~,['Film & Animation'],"['~FMP', 'Sousuke', 'Kaname', 'Crush~', 'amv']",,,1727.0,19.0,https://www.youtube.com/channel/UCKVT67lS5j6eCpcCnVD8j1Q,163.0,,0.0,https://www.youtube.com/watch?v=Cyx-UJAXZrg,"[[  0. 168.  67. ... 166. 125. 111.]
 [  0. 128.  46. ...  73.  63. 160.]
 [  0. 128.  47. ...  71.  56. 168.]
 ...
 [  0. 123.  45. ...  75.  85. 112.]
 [ 18. 119.  45. ... 142. 107. 165.]
 [  0. 138.  43. ... 127. 113. 136.]]","[[173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 ...
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]]"
3,RMbX,C5K_AESKJA4,飼い主を大爆笑させる猫 #3 〜首輪を変えてモフモフしたい猫【茶トラ猫 マック 】- Cat which is glad to change it into a new collar LOL!,['Pets & Animals'],"['二匹の猫と暮らす日々', '猫', 'ねこ', 'ネコ', '猫 鳴き声', '猫 おもしろ', 'cat videos', 'cats', 'funny', 'Adorable', 'neko', 'meow', 'Funny Cats', 'Kitty', 'Playing', 'Owner', '茶トラ', '茶トラ猫 マック', 'はちわれ猫 ハッチ', '猫動画', 'かわいい', 'ペット', 'おもしろ動画', 'スリスリ', 'ゴロゴロ', 'ナデナデ モフモフ', '甘える', '子猫', 'Kitten', 'Kittens', 'Cute', 'Animals', 'pet', 'sweet', 'kitty', 'paw', '爆笑', '首輪', '大爆笑']","マック(茶トラ猫)の首輪がボロボロになったので、買い替えました。同じ首輪でも新しいと嬉しいのか飼い主にモフモフを何度も要求。爆笑猫(^^)
 Cat which is glad to change it into a new collar

▶『飼い主を大爆笑させる茶トラ猫 (1) 』
https://www.youtube.com/watch?v=pnINKGSk_M8
▶『飼い主を大爆笑させる茶トラ猫 (2) 』
https://www.youtube.com/watch?v=roS0yLDhiAE
▶『飼い主を大爆笑させる茶トラ猫 (4) 』
https://www.youtube.com/watch?v=4fxjFz8abdk

▶▶チャンネル登録 ↓  2匹の猫通信(Cats Life TV)
http://www.youtube.com/subscription_center?add_user=kuronecats",,7938.0,107.0,https://www.youtube.com/channel/UCFWb_olPq1b33vNBIWwbFTg,135.0,,0.0,https://www.youtube.com/watch?v=C5K_AESKJA4,"[[164. 199. 106. ... 100. 203.  66.]
 [139. 202.  77. ...  69.  83. 167.]
 [107. 212.  85. ... 193. 153. 187.]
 ...
 [103. 196.  75. ...  42.  91. 204.]
 [102. 198.  77. ...  31.  74. 197.]
 [109. 199.  84. ...  92.   0. 217.]]","[[114.  71. 188. ...  69. 255.   0.]
 [143. 107. 255. ... 125. 196.   0.]
 [158.  89. 186. ... 153. 134.   0.]
 ...
 [177.  84. 151. ... 217. 255. 104.]
 [150. 120. 209. ... 255. 241.   0.]
 [140.  37. 185. ... 178. 156. 105.]]"
4,v6bX,UmMYnuQUAJY,4 LADY EXIBITION IN BLANCE,['Entertainment'],"['CIRCUS', 'FRANCE']","CIRQUE D'HIVER BOUGLIONE FRANCE
JANUARY 01,2010",,3078.0,2.0,https://www.youtube.com/channel/UCuAUF5Z7Crg2clsEXZxCtDQ,297.0,,0.0,https://www.youtube.com/watch?v=UmMYnuQUAJY,"[[ 95. 111. 255. ... 214. 160. 152.]
 [ 83.  98. 255. ... 205. 186. 126.]
 [ 97. 121. 255. ... 185. 145.  42.]
 ...
 [ 98. 137. 255. ... 129. 136. 124.]
 [ 97. 111. 255. ... 147. 229.  17.]
 [ 65. 136. 255. ...  83. 159.  60.]]","[[125. 220. 156. ... 122. 255.  32.]
 [172. 188. 183. ...   0.  26. 164.]
 [183. 144. 180. ... 128.  27. 233.]
 ...
 [213. 255. 254. ...  36. 163. 134.]
 [128. 149. 233. ...   0. 147.  83.]
 [168. 217. 255. ...  34. 204.   9.]]"
5,OnbX,PJZkpI8jfY0,AMAZING Peacock Bass Fishing in South Florida!,['People & Blogs'],"['Fishing', 'Florida (US State)', 'Peacock Bass (Organism Classification)', 'United States Of America (Country)', 'Beach', 'Amazing', 'Miami', 'Fly Fishing', 'Cool', 'Spinning Reel', 'Bait', 'Cast', 'Reel', 'She Fishes', 'Infinityfishingteam', 'Blacktiph']","We do A LOT of peacock bass fishing... here is just some of the clips we have from our favorite spot in south florida. 
If you want to see more, leave me a comment below telling me what you want to see, and be sure to subscribe and stay tuned for the next episode!!

Thank You, Stay Tuned!
-Tail Whipped Fishing Team",,1583.0,13.0,https://www.youtube.com/channel/UCyJQkPJRSw_FEkOzxsw0b7Q,381.0,,0.0,https://www.youtube.com/watch?v=PJZkpI8jfY0,"[[175. 211.  74. ... 213. 234. 173.]
 [127. 187.  67. ... 134. 226. 115.]
 [255. 126.  91. ... 163.   0. 172.]
 ...
 [115. 162.  68. ... 105.  74.  82.]
 [137. 161.  71. ...  90. 139.  28.]
 [199. 137.  86. ...  23. 119. 115.]]","[[172.  26. 126. ... 136. 135. 184.]
 [172.  26. 126. ... 135. 134. 185.]
 [173.  26. 126. ... 136. 134. 185.]
 ...
 [  0. 223.  28. ... 195. 255. 255.]
 [  0. 255.   1. ...   0. 255. 255.]
 [  0. 255.  16. ...  79. 255. 255.]]"
6,d5bX,w0FlgH-flcg,Criando vetor em segundo Coreldraw x4,['Science & Technology'],"['Criando', 'vetor', 'em segundo', 'Coreldraw x4', 'tutorial', 'corel', 'photopaint']","Criando vetor em segundo Coreldraw x4
 meu site
http://www.tutoriaisdanet.tk
 segundo
http://www.the-sharex.xp3.biz",,4043.0,1.0,https://www.youtube.com/channel/UCA4s1-6QoWW-oGYzrhnAmIg,130.0,,0.0,https://www.youtube.com/watch?v=w0FlgH-flcg,"[[137.  53. 121. ...  98. 223.  29.]
 [127.  15.  95. ...  46. 198.  66.]
 [126.  15.  95. ...  45. 199.  66.]
 ...
 [145.  31.  46. ... 123. 231. 109.]
 [171.  46.  53. ...  79. 255. 188.]
 [168.  55.  41. ...  39. 255. 145.]]","[[131.  48. 211. ... 255. 144. 134.]
 [ 88.  49. 206. ...  80.   0. 247.]
 [ 82.  46. 196. ... 238.  69. 249.]
 ...
 [119.  52. 196. ... 190.  44. 143.]
 [ 86.  46. 204. ... 199.  91. 188.]
 [ 76.  48. 172. ... 156. 191. 195.]]"
7,0IbX,inEa3C5HWig,La Barra -14 años- Al palo con ella_fin,['Music'],"['la', 'barra', '14', 'años', 'orfeo', 'dale']","La Barra festejó sus 14 años en el Orfeo Superdomo - Córdoba - Argentina.
www.labarradesiemprenet.com.ar
www.daale.com.ar",,12764.0,8.0,https://www.youtube.com/channel/UCkfA8ARHxEGvRQts1rYETlg,234.0,,0.0,https://www.youtube.com/watch?v=inEa3C5HWig,"[[  0.  72. 173. ... 142. 119. 137.]
 [ 85.  97. 198. ... 206. 135.  50.]
 [ 80.  93. 255. ... 172. 134.  96.]
 ...
 [121.  65. 152. ... 141. 123.  80.]
 [110.  52. 160. ... 128. 121. 115.]
 [ 98.  47. 168. ...  77. 112.  37.]]","[[113. 131. 185. ... 255. 255. 255.]
 [ 74. 165.  91. ... 255.   0. 245.]
 [ 78. 174. 132. ...  85.  98. 216.]
 ...
 [ 78. 255. 190. ...  98. 152. 112.]
 [ 43. 255. 179. ...   0. 255. 255.]
 [122. 209. 205. ... 255. 158.  57.]]"
8,X8bX,4_to8jCSE2E,Sims 4 Tutorial #3 - Fencing,['Gaming'],"['Tutorial (Media Genre)', 'The Sims 4', 'The Sims 4 Tutorial', 'The Sims 4 Fencing', 'The Sims 4 Building', 'House Building']","Learn How To Fence. No, Not The Sport...
__________________________________

Twitter: https://twitter.com/braydoz117
Instagram: http://instagram.com/officialbraydoz
Sims 3 Studio: http://www.thesims3.com/userExchange.html?selectedAsstType=all&persona=Braydoz147
Sims 4 Gallery: Braydoz

FAQ: https://www.youtube.com/user/TheOfficialBraydoz/about

___________________________________________

What Are Sims 4 Tutorials?

Sims 4 Tutorials are where I show you little tips and tricks of how to build in the Sims 4. If there's something people are having trouble with, something that you want to know or a little trick that can make building easier, I'll be sure to cover it in one of these little videos!
________________________________________________

Game Link: http://www.thesims.com/the-sims-4

Outro Music: https://www.youtube.com/watch?v=Wr2VZuCR5rQ&list=PLC463C3BD71D711C0",,49573.0,343.0,https://www.youtube.com/channel/UCzb339GmPjP458xt_IEJguA,171.0,,0.0,https://www.youtube.com/watch?v=4_to8jCSE2E,"[[157. 126.  82. ... 185.  57.  75.]
 [138. 126.  75. ... 160.  80. 130.]
 [148. 123.  84. ... 177.  97. 119.]
 ...
 [186. 109.  66. ... 131.  94. 130.]
 [185. 110.  67. ... 132.  92. 126.]
 [181. 110.  69. ... 129.  97. 132.]]","[[ 66.  74. 107. ... 106. 193. 105.]
 [ 10.  94.  83. ...  83. 255. 235.]
 [  0. 103.  46. ...   0. 109. 225.]
 ...
 [ 53.  85. 146. ...   5. 237. 198.]
 [ 35.  83. 144. ...   0. 167. 169.]
 [ 50.  70. 124. ...  99. 157. 213.]]"
9,SCbX,Woxt264u2AU,Disney College Program Spring 2012 : Episode 6 : ACCEPTED!!! Spring Attractions!,['People & Blogs'],"['walt', 'disney', 'world', 'college', 'program', 'blogs', 'wdwcp', '2012', 'Kate', 'awesome', 'disneyworld', 'uconn', 'advice', 'fun', 'excitement', 'the', 'thin']","Hey everyone! My name is Kate! I'm going to be going to Walt Disney World for the 2012 Spring Disney Colelge Program! I just got my acceptance letter and I got the Attractions role! Hopefully I'll be a Jungle Cruise skipper!

This is me half-crying and attempting to dance on beat! Enjoy!

Let's Be Best Friends!
Other Channel: YouTube.com/TheKateCupcakes
Tumblr: TheKateCupcakes.tumblr.com
Twitter: @KateCupcakes

Disney College Program Spring/Spring Advantage 2012 Facebook Group: https://www.facebook.com/groups/155793151111683/",,2976.0,21.0,https://www.youtube.com/channel/UC_fU2eIzOrPkJM-NtcRyZ8g,128.0,,0.0,https://www.youtube.com/watch?v=Woxt264u2AU,"[[172. 169. 109. ...   0. 183.  80.]
 [255. 129. 162. ...   0. 166. 255.]
 [200.  54. 148. ... 178. 157. 173.]
 ...
 [213. 146. 129. ...  59.  81.  53.]
 [198. 157. 108. ...  90.  48.  46.]
 [175. 143.  85. ... 237.  84.  87.]]","[[145.  99.  42. ...   0.  22.   0.]
 [167. 127.   0. ...   0.   0. 184.]
 [141. 144.   0. ...   0.   0. 255.]
 ...
 [199.  86.  54. ... 141. 132. 118.]
 [197.  55.  83. ... 123. 140. 235.]
 [186.  69.  69. ... 102.  16. 146.]]"
